ID,Threat,Source of documentation
t_1,Data process/read for wrong case,Seyyar et al.
t_2,Unencrypted data transmission from third parties,Seyyar et al.
t_3,Unauthorized person access to the big data forensic platform,Seyyar et al.
t_4,Investigation report (paper documents) sent to wrong destination,Seyyar et al.
t_5,Access to data after case is closed,Seyyar et al.
t_6,No systematic monitoring of authorizations,Seyyar et al.
t_7,Illegitimate cross-referencing of data,Seyyar et al.
t_8,"Errors during updates, conﬁguration or maintenance",Seyyar et al.
t_9,Malicious code injection,Seyyar et al.
t_10,Replacement of an original document (paper) by a forgery,Seyyar et al.
t_11,Replacement of components,Seyyar et al.
t_12,Authorizations not granted at case level,Seyyar et al.
t_13,Not to ensure separation of duties,Seyyar et al.
t_14,Errors while uploading seized digital material,Seyyar et al.
t_15,Insufﬁcient knowledge of the software,Seyyar et al.
t_16,Processing capacity overload,Seyyar et al.
t_17,Denial of service attack,Seyyar et al.
t_18,Denial of service attack,Seyyar et al.
t_19,Loss of encryption key,Seyyar et al.
t_20,Assignment of poorly trained employees.,Seyyar et al.
t_21,Under tested software/hardware integration,Seyyar et al.
t_22,Third party privacy breach,Chaure et al.
t_23,Erroneous allegations due to deleted files,Chaure et al.
t_24,Informed permission issues,Chaure et al.
t_25,Cross-border data privacy concerns,Chaure et al.
t_26,Lack of privacy requirements in tools and procedures,Chaure et al.
t_27,Centralization of data,Rowe
t_28,Misjudgment of data,Rowe
t_29,Unwarranted reporting of forensic findings,Rowe
t_30,Violating privacy of third parties,Rowe
t_31,Surreptitious searches,Rowe
t_32,Selling of private forensic data,Rowe
t_33,Criminal use of digital forensics,Rowe
t_34,Difficulty of assessing damage to privacy,Rowe
t_35,Lack of support for privacy management by forensic tool vendors,Rowe
t_36,Lack of consent and choice,Schaik et al.
t_37,Lack of purpose legitimacy and specification,Schaik et al.
t_38,Lack of collection limitation,Schaik et al.
t_39,Lack of data minimization,Schaik et al.
t_40,"Lack of use, retention and disclosure limitation",Schaik et al.
t_41,Lack of accuracy and quality,Schaik et al.
t_42,"Lack of openness, transparency & notice",Schaik et al.
t_43,Group participation and access,Schaik et al.
t_44,Lack of accountability,Schaik et al.
t_45,Lack of information security controls,Schaik et al.
t_46,Lack of compliance,Schaik et al.
t_47,Unauthorized access to personal data,ChatGPT
