Source of documentation,Asset
ISO,Storage media
"CoE DF, IPOL",Cloud and remote storage
CoE DF,Email and messagging
CoE DF,Communication and network logs
CoE DF,Authentication and access logs
"CoE DF, NIST.IR.8354",Forensic tools and equipment
"CoE DF, NIJ",Case management databases
CoE DF,Secure forensic workstations
CoE DF,Forensic lab
CoE EEG,Desktop devices
CoE EEG,Mobile devices
CoE EEG,IoT devices
CoE EEG,Location and tracking data
CoE EEG,Cryptocurrency data
IPOL,System and application logs
